subID,duration_of_look,object_attended,overlapping_pbehaviors,prop_of_look_inSmiling
3201,0.53,1,4,0.473905466
3201,0.56,3,1,0.341225467
3201,0.57,3,1,0.506982857
3201,0.6,2,1,0.475532947
3201,0.6,2,1,0.395423556
3201,0.634,1,1,0.518652472
3201,0.67,2,1,0.381968649
3201,0.7,3,5,0.697542802
3201,0.701,2,1,0.459240861
3201,0.74,1,1,0.417040288
3201,0.76,2,1,0.486849839
3201,0.77,2,3,0.441484078
3201,0.77,1,5,0.702134779
3201,0.8,3,3,0.627898658
3201,0.8,2,1,0.391475333
3201,0.801,1,5,0.495889078
3201,0.87,3,1,0.497473207
3201,0.9,3,2,0.486591598
3201,0.93,3,2,0.498532727
3201,0.93,3,1,0.582125623
3201,0.94,3,5,0.496432665
3201,0.97,3,2,0.692316916
3201,0.97,3,3,0.488717082
3201,0.97,2,3,0.381124265
3201,1,1,3,0.363378431
3201,1.04,3,2,0.342069564
3201,1.06,2,3,0.326728556
3201,1.068,1,4,0.416736854
3201,1.068,1,5,0.377691777
3201,1.07,3,2,0.452957925
3201,1.13,3,1,0.495952291
3201,1.2,1,3,0.386664936
3201,1.2,1,3,0.297692107
3201,1.2,2,1,0.398970576
3201,1.27,3,5,0.375353731
3201,1.334,2,3,0.573573492
3201,1.36,1,3,0.588933925
3201,1.368,1,4,0.598410609
3201,1.4,1,5,0.428116627
3201,1.43,3,5,0.595445319
3201,1.5,2,3,0.688354334
3201,1.51,1,3,0.501318897
3201,1.54,2,3,0.532292934
3201,1.569,2,5,0.645008234
3201,1.61,2,2,0.444061585
3201,1.64,3,3,0.429431512
3201,1.8,2,5,0.561795054
3201,1.8,1,5,0.367249517
3201,1.87,1,5,0.53478568
3201,1.97,1,3,0.438231049
3201,1.97,1,4,0.564252655
3201,2,2,3,0.466351184
3201,2.04,1,2,0.556792269
3201,2.069,2,1,0.395950202
3201,2.3,1,3,0.46535529
3201,2.33,3,3,0.517925473
3201,2.37,3,2,0.475731903
3201,2.4,1,3,0.542397242
3201,2.403,2,5,0.500643384
3201,2.43,2,5,0.537543857
3201,2.53,2,4,0.456875225
3201,2.6,1,3,0.6559654
3201,2.64,1,3,0.486243739
3201,2.7,1,3,0.50699781
3201,2.703,3,4,0.48353098
3201,2.97,2,5,0.352043394
3201,3,2,3,0.644114121
3201,3.03,1,4,0.377131379
3201,3.103,1,5,0.559731619
3201,3.23,3,3,0.59597363
3201,3.54,2,4,0.467666179
3201,3.67,2,2,0.367683571
3201,3.77,2,4,0.456481511
3201,4.27,2,5,0.601624264
3201,4.405,1,4,0.343606643
3201,4.64,2,5,0.474261347
3201,4.738,3,5,0.38053421
3201,4.771,3,4,0.330348627
3201,5.03,3,4,0.623146198
3201,5.48,1,5,0.415654705
3201,5.87,1,5,0.613511219
3201,6.51,3,5,0.663323233
3201,9.71,3,2,0.573110767
3201,10.28,2,3,0.543984444
3201,10.88,3,4,0.571662687
3201,11.55,3,5,0.517621004
3202,0.7,3,1,0.458239892
3202,0.733,2,1,0.399371298
3202,1.17,3,3,0.48536602
3202,1.17,3,1,0.437368127
3202,1.3,1,5,0.672245716
3202,1.37,1,5,0.518313633
3202,1.466,2,5,0.500941661
3202,1.66,2,5,0.61577901
3202,1.667,3,5,0.283931505
3202,1.9,3,2,0.209960197
3202,1.93,1,5,0.306110793
3202,2.23,2,5,0.417022788
3202,2.5,1,5,0.417111643
3202,3.03,2,3,0.423210467
3202,3.1,3,5,0.272344788
3202,3.433,1,3,0.533767932
3202,3.74,1,5,0.467977037
3202,3.74,3,5,0.603339397
3202,3.86,3,5,0.474261485
3202,4.033,1,3,0.640622089
3202,4.2,2,5,0.251359857
3202,4.6,3,5,0.55000998
3202,4.6,1,5,0.936142091
3202,4.63,2,4,0.43739873
3202,5.13,3,5,0.559734547
3202,5.334,3,5,0.551516138
3202,5.47,3,4,0.393700386
3202,5.567,3,5,0.51583654
3202,5.967,3,5,0.594062202
3202,6.67,2,5,0.402652516
3202,14.47,3,4,0.431881799
3202,17.9,3,5,0.386020412
3202,20.13,3,5,0.525157642
3202,22.93,3,5,0.488196485
3204,0.5,3,4,0.634794557
3204,0.534,2,1,0.461062504
3204,0.534,2,1,0.477140652
3204,0.567,3,4,0.6192748
3204,0.6,2,2,0.230210711
3204,0.6,2,4,0.696653565
3204,0.6,2,1,0.505878985
3204,0.601,1,1,0.366187646
3204,0.634,3,4,0.518904643
3204,0.66,2,5,0.656987813
3204,0.67,2,4,0.465676033
3204,0.7,2,1,0.517933598
3204,0.73,2,5,0.618651969
3204,0.801,2,5,0.551287988
3204,0.84,2,5,0.286906381
3204,1.11,1,4,0.55060129
3204,1.13,3,2,0.46547168
3204,1.14,1,5,0.543479381
3204,1.168,3,4,0.532257384
3204,1.17,1,5,0.504386552
3204,1.23,2,1,0.584077006
3204,1.27,3,5,0.443868354
3204,1.301,3,4,0.487877477
3204,1.301,3,4,0.602515107
3204,1.33,1,1,0.532098351
3204,1.54,2,5,0.327247514
3204,2.03,1,5,0.476328075
3204,2.21,2,4,0.345349453
3204,2.44,2,5,0.577148878
3204,2.54,1,5,0.337001052
3204,2.56,1,1,0.548562818
3204,2.569,3,4,0.521780144
3204,2.8,2,5,0.706873047
3204,2.97,2,5,0.365695059
3204,3,1,4,0.66843131
3204,3.24,1,5,0.5722615
3204,3.34,2,5,0.458852549
3204,3.4,3,5,0.509902624
3204,3.67,1,5,0.655405171
3204,4.88,1,4,0.311266667
3204,4.93,2,5,0.611277969
3204,5.2,2,4,0.380541319
3204,5.4,2,5,0.588026758
3204,5.58,3,5,0.470295032
3204,5.6,3,5,0.55704718
3204,7.1,2,5,0.399745106
3204,14.92,3,5,0.605150981
3204,17.18,1,5,0.642273847
3205,0.5,1,2,0.439093198
3205,0.5,3,3,0.380083179
3205,0.53,3,1,0.747510926
3205,0.567,2,2,0.396185114
3205,0.567,1,5,0.508540682
3205,0.57,1,3,0.481077954
3205,0.6,1,5,0.581105234
3205,0.63,2,2,0.494822156
3205,0.633,1,3,0.472664488
3205,0.67,2,5,0.333954366
3205,0.701,1,4,0.409556753
3205,0.77,3,2,0.357052849
3205,0.84,2,3,0.529101394
3205,0.9,1,3,0.458703727
3205,1.1,1,5,0.535365827
3205,1.14,3,5,0.450128142
3205,1.16,1,4,0.674930907
3205,1.23,3,4,0.512371881
3205,1.235,2,1,0.470072701
3205,1.27,2,1,0.464535793
3205,1.3,2,5,0.490980785
3205,1.3,1,3,0.479026954
3205,1.301,2,5,0.459107485
3205,1.301,2,3,0.342582063
3205,1.302,3,1,0.526403444
3205,1.37,3,4,0.667339273
3205,1.43,2,4,0.262102148
3205,1.46,3,3,0.54396168
3205,1.54,1,2,0.535994578
3205,1.57,3,1,0.427146307
3205,1.63,3,5,0.509182486
3205,1.67,2,3,0.534342088
3205,1.71,1,5,0.315269351
3205,1.86,1,5,0.463353541
3205,2,3,4,0.647096625
3205,2.04,3,5,0.418482166
3205,2.1,3,5,0.268862599
3205,2.27,1,3,0.423136034
3205,2.3,2,3,0.437826246
3205,2.34,3,2,0.797625013
3205,2.57,3,4,0.53990665
3205,2.67,1,3,0.547170768
3205,2.71,1,5,0.291549277
3205,2.94,1,5,0.528266966
3205,3.07,2,2,0.585717783
3205,3.07,2,5,0.658240624
3205,3.21,2,5,0.51645651
3205,3.6,2,5,0.259253371
3205,3.81,1,5,0.661170685
3205,4.34,1,5,0.46815991
3205,4.48,1,5,0.459175961
3205,5.33,1,5,0.690311074
3205,5.51,2,5,0.39124297
3205,6.34,1,5,0.50662528
3205,6.5,2,5,0.470510524
3205,7.207,3,5,0.438226567
3205,7.48,1,5,0.837708109
3205,7.541,3,5,0.621907436
3205,7.98,2,4,0.494378952
3205,8.78,3,4,0.257384614
3205,9.08,2,5,0.540305863
3205,20.62,3,5,0.592877964
3205,30.933,3,5,0.409201987
3206,0.57,3,3,0.311388721
3206,0.6,2,2,0.592623129
3206,0.6,1,1,0.715604252
3206,0.6,2,1,0.542658112
3206,0.63,1,2,0.620597664
3206,0.634,1,4,0.628410113
3206,0.634,2,5,0.549840934
3206,0.66,2,5,0.321698426
3206,0.734,1,1,0.64492068
3206,0.734,2,5,0.428883463
3206,0.74,2,4,0.471855268
3206,0.77,2,1,0.535193757
3206,0.801,3,1,0.450298889
3206,0.97,3,5,0.670202654
3206,0.97,3,3,0.508933634
3206,1,2,2,0.476996414
3206,1.01,2,3,0.431506917
3206,1.03,3,5,0.360738265
3206,1.04,1,5,0.510892777
3206,1.1,2,5,0.582068712
3206,1.101,1,1,0.479984059
3206,1.23,3,5,0.694197183
3206,1.24,3,2,0.568899538
3206,1.3,2,5,0.472298538
3206,1.33,2,3,0.643609385
3206,1.46,3,1,0.342570484
3206,1.47,2,5,0.549918739
3206,1.47,1,5,0.441833523
3206,1.502,2,4,0.557456192
3206,1.63,2,4,0.462188444
3206,1.63,3,5,0.643775049
3206,1.67,3,1,0.27633781
3206,1.77,2,5,0.562287832
3206,1.9,2,3,0.46648332
3206,1.94,2,5,0.493601429
3206,1.969,2,5,0.341076744
3206,2,2,4,0.327561484
3206,2.04,1,3,0.497203405
3206,2.102,1,5,0.377859372
3206,2.2,1,5,0.411079418
3206,2.47,3,5,0.750311969
3206,2.6,3,5,0.462710876
3206,2.63,2,4,0.530354764
3206,2.91,2,5,0.596410543
3206,3.01,1,3,0.60201486
3206,3.07,3,5,0.571936112
3206,3.44,2,5,0.602389452
3206,3.5,3,5,0.714382792
3206,3.81,2,5,0.571700202
3206,3.903,3,5,0.351323166
3206,4.11,3,5,0.471926539
3206,4.64,3,5,0.281015677
3206,4.738,3,5,0.488868416
3206,5.04,2,5,0.5177042
3206,5.205,3,5,0.37613914
3206,5.272,1,4,0.509867982
3206,5.31,3,5,0.695807583
3206,5.604,3,4,0.582251902
3206,5.61,2,5,0.525085226
3206,5.87,3,5,0.332813803
3206,6.24,2,5,0.410969414
3206,6.57,2,5,0.535485345
3206,7.01,2,5,0.546926071
3206,8.67,2,5,0.496687072
3206,8.77,3,5,0.530438558
3206,9.38,1,5,0.530235782
3206,9.61,3,5,0.466443867
3206,12.312,3,5,0.26336078
3206,16.59,3,5,0.62350083
3206,16.884,3,5,0.583997071
3207,0.53,2,4,0.507057155
3207,0.54,1,5,0.36330814
3207,0.54,2,1,0.352950429
3207,0.54,1,1,0.638135358
3207,0.6,1,1,0.513727857
3207,0.734,1,2,0.528959916
3207,0.77,3,3,0.293024297
3207,0.84,3,3,0.583996785
3207,0.86,1,5,0.602258756
3207,0.86,2,5,0.399417838
3207,0.867,2,1,0.641678582
3207,0.9,2,2,0.26752516
3207,0.9,1,5,0.333998902
3207,1.04,1,1,0.549313928
3207,1.17,1,4,0.641818389
3207,1.3,1,1,0.578127185
3207,1.34,3,2,0.469040136
3207,1.368,2,5,0.456168007
3207,1.4,1,5,0.447808045
3207,1.4,2,5,0.4401356
3207,1.535,1,4,0.241292827
3207,1.6,3,2,0.56165426
3207,1.64,1,5,0.486678925
3207,1.7,2,3,0.459169061
3207,1.77,2,3,0.415930751
3207,1.8,1,2,0.187428941
3207,1.96,3,1,0.59452072
3207,2.34,2,2,0.716870115
3207,2.436,2,5,0.401740931
3207,2.64,1,5,0.507903909
3207,2.96,2,4,0.422959615
3207,3.07,1,4,0.477187721
3207,3.17,3,5,0.502743671
3207,3.2,3,4,0.393727621
3207,3.44,2,4,0.588897313
3207,3.47,3,5,0.404752217
3207,3.47,1,5,0.566590727
3207,3.57,2,5,0.607627827
3207,3.74,2,1,0.464798328
3207,4.11,3,1,0.517959591
3207,4.54,2,4,0.346134966
3207,4.671,3,5,0.718982655
3207,4.73,3,5,0.41371083
3207,4.74,1,5,0.435137154
3207,4.84,3,5,0.583372491
3207,4.91,2,5,0.453099972
3207,4.97,3,5,0.527540412
3207,5.74,3,5,0.521391305
3207,6.54,3,5,0.710457942
3207,6.841,2,5,0.286933074
3207,6.974,3,5,0.666389359
3207,7.64,1,5,0.37663556
3207,10.11,3,5,0.429943913
3207,11.34,2,5,0.182321477
3208,0.54,1,1,0.660621122
3208,0.57,3,3,0.719735713
3208,0.57,2,1,0.488030944
3208,0.6,3,1,0.623665371
3208,0.67,2,1,0.418344684
3208,0.7,1,1,0.603712916
3208,0.74,1,2,0.479702992
3208,0.76,1,2,0.593978546
3208,0.8,3,1,0.518723322
3208,0.8,2,2,0.46744679
3208,0.8,1,4,0.327700259
3208,0.83,3,2,0.572670798
3208,0.87,2,4,0.405451102
3208,0.9,3,5,0.707202873
3208,0.97,2,2,0.496367257
3208,1,1,2,0.407555533
3208,1.14,2,2,0.414383745
3208,1.201,1,2,0.783113489
3208,1.36,3,3,0.454502171
3208,1.4,2,2,0.70950803
3208,1.41,1,2,0.323491065
3208,1.43,1,5,0.539277747
3208,1.535,1,2,0.454853277
3208,1.6,3,3,0.623491398
3208,1.67,2,3,0.430904639
3208,1.73,2,2,0.3633892
3208,1.76,1,4,0.726010901
3208,1.96,3,2,0.453532011
3208,1.97,3,3,0.541915144
3208,2.03,3,3,0.450620671
3208,2.07,2,5,0.736460757
3208,2.103,2,3,0.439857419
3208,2.27,3,3,0.40150154
3208,2.44,2,5,0.622783926
3208,2.7,2,3,0.4021372
3208,2.97,2,3,0.381599551
3208,3.24,1,2,0.646175705
3208,3.34,1,4,0.474044771
3208,3.504,3,4,0.446959849
3208,3.64,3,3,0.193787736
3208,4.41,3,4,0.577317372
3208,4.74,2,4,0.535296609
3208,4.74,3,5,0.334794242
3208,4.94,2,5,0.603909077
3208,4.971,1,5,0.450870344
3208,5.54,1,2,0.44975206
3208,5.706,3,5,0.293162201
3208,5.906,3,5,0.363911293
3208,6.673,1,4,0.597369127
3208,7.47,2,3,0.558135222
3208,9.57,3,5,0.543532682
3208,10.009,2,5,0.442495423
3208,10.21,3,5,0.537189528
3208,11.11,2,5,0.506126558
3208,12.046,3,5,0.455215457
3211,0.5,3,2,0.472319817
3211,0.5,1,1,0.431877188
3211,0.567,3,4,0.563849578
3211,0.57,1,1,0.430446225
3211,0.57,1,1,0.590401063
3211,0.6,2,3,0.470559397
3211,0.6,2,3,0.211299022
3211,0.63,2,2,0.260448287
3211,0.63,1,1,0.448932889
3211,0.634,2,1,0.54199757
3211,0.64,1,1,0.761579086
3211,0.67,3,1,0.444319623
3211,0.7,3,2,0.431029768
3211,0.7,1,1,0.594610152
3211,0.73,3,1,0.525460926
3211,0.74,3,5,0.691347737
3211,0.77,1,1,0.582463159
3211,0.77,1,4,0.391540784
3211,0.8,3,3,0.543747234
3211,0.801,1,4,0.389939573
3211,0.835,3,1,0.586152275
3211,0.87,3,5,0.311137707
3211,0.901,1,2,0.383768607
3211,0.97,2,5,0.602502849
3211,1,2,5,0.695650824
3211,1.001,2,4,0.474087491
3211,1.27,3,4,0.369369834
3211,1.33,1,2,0.550170789
3211,1.37,3,4,0.739446944
3211,1.37,2,4,0.449593576
3211,1.401,3,5,0.63349799
3211,1.41,1,4,0.629287642
3211,1.44,2,2,0.452738521
3211,1.44,2,5,0.511536344
3211,1.468,1,2,0.60206269
3211,1.57,2,1,0.399150112
3211,1.7,3,2,0.426185803
3211,1.77,3,2,0.401022732
3211,1.8,3,3,0.554056221
3211,1.802,1,5,0.412041859
3211,1.97,1,4,0.477151461
3211,2,3,2,0.404460051
3211,2.03,3,2,0.57515917
3211,2.1,1,1,0.671967236
3211,2.13,3,3,0.414597576
3211,2.16,3,5,0.523092323
3211,2.202,1,2,0.575741234
3211,2.269,1,4,0.502166474
3211,2.3,2,5,0.711331465
3211,2.502,1,4,0.841211218
3211,2.71,1,4,0.75559995
3211,2.736,3,5,0.706382596
3211,2.74,1,1,0.550070956
3211,2.8,2,5,0.535213811
3211,2.94,3,5,0.529008129
3211,3.27,2,5,0.705146239
3211,3.3,2,4,0.570527069
3211,3.3,3,5,0.477219204
3211,3.37,3,5,0.431344378
3211,3.44,2,5,0.304489821
3211,3.64,3,2,0.452848003
3211,3.67,2,3,0.659669968
3211,3.7,1,2,0.540671955
3211,3.737,3,5,0.614887682
3211,3.77,1,4,0.572640679
3211,3.83,2,5,0.424759961
3211,4.04,2,5,0.532308376
3211,4.54,2,2,0.534675137
3211,4.74,2,5,0.633128352
3211,5.04,2,5,0.494110025
3211,5.906,1,5,0.464743181
3211,6.13,1,5,0.297868379
3211,6.14,3,5,0.569928708
3211,6.504,1,5,0.499319726
3211,6.7,2,4,0.490312273
3211,7.47,1,4,0.247746158
3211,8.34,3,5,0.455037624
3211,8.909,3,5,0.354371373
3211,10.51,3,3,0.339345273
3211,11.24,3,5,0.675402316
3211,18.81,3,5,0.591049136
3212,0.601,3,5,0.661305906
3212,0.8,2,5,0.494320455
3212,0.8,1,5,0.426480849
3212,0.86,1,4,0.412913573
3212,1.04,2,5,0.37214588
3212,1.1,1,5,0.633748241
3212,1.1,3,5,0.618365441
3212,1.24,2,4,0.421138847
3212,1.34,3,5,0.611841806
3212,1.37,3,5,0.614173667
3212,1.4,3,5,0.531066088
3212,1.435,3,5,0.359445347
3212,1.47,3,5,0.621650013
3212,1.53,2,5,0.540161909
3212,1.6,3,5,0.679379589
3212,1.73,2,5,0.401092065
3212,1.74,2,5,0.521895121
3212,1.8,2,5,0.651758055
3212,1.9,1,5,0.657704269
3212,1.94,2,5,0.436338877
3212,1.96,1,5,0.653603933
3212,2.002,2,5,0.596495633
3212,2.01,2,5,0.355594638
3212,2.23,3,5,0.399795569
3212,2.3,3,5,0.616364844
3212,2.6,2,5,0.388836239
3212,2.9,3,5,0.373768012
3212,3.24,1,5,0.391048521
3212,3.47,2,5,0.557023641
3212,4.3,3,5,0.474322323
3212,4.305,1,5,0.585759831
3212,4.4,2,5,0.384260107
3212,4.54,2,5,0.443494823
3212,4.67,2,5,0.533867956
3212,5.14,1,5,0.485423943
3212,5.34,1,5,0.428714962
3212,6.84,1,5,0.505997476
3212,7.08,3,5,0.537140866
3212,7.08,2,5,0.466119696
3212,7.14,2,5,0.840721167
3212,9.509,3,5,0.516303536
3212,9.944,3,5,0.588363137
3213,0.5,3,1,0.447653706
3213,0.53,2,3,0.536820388
3213,0.56,2,1,0.417174002
3213,0.6,1,5,0.582515678
3213,0.63,1,5,0.473138684
3213,0.634,3,4,0.461228107
3213,0.66,1,5,0.504880216
3213,0.667,2,1,0.488860358
3213,0.7,1,3,0.65875474
3213,0.701,1,1,0.485210104
3213,0.868,1,4,0.499708862
3213,0.87,1,2,0.414479827
3213,0.9,3,5,0.622958208
3213,0.901,3,5,0.507094519
3213,0.901,3,3,0.389130023
3213,0.93,3,4,0.535129259
3213,0.93,2,5,0.531448163
3213,0.934,3,2,0.441774644
3213,0.935,3,5,0.556377632
3213,0.967,1,5,0.316483793
3213,1,3,4,0.526464988
3213,1.1,2,5,0.334885827
3213,1.135,2,2,0.299551831
3213,1.17,3,4,0.424498734
3213,1.201,3,5,0.245953247
3213,1.3,2,3,0.366418047
3213,1.31,3,1,0.392872402
3213,1.37,3,5,0.693858654
3213,1.4,2,3,0.336021435
3213,1.43,3,4,0.482188376
3213,1.468,3,4,0.498937287
3213,1.468,3,4,0.384034423
3213,1.502,1,5,0.428449784
3213,1.6,2,5,0.619935739
3213,1.602,2,5,0.482045454
3213,1.66,1,3,0.560477431
3213,1.835,2,5,0.785967131
3213,2,2,4,0.534487101
3213,2.07,2,3,0.490218247
3213,2.31,1,5,0.441796939
3213,2.335,1,2,0.630843725
3213,2.44,3,3,0.380523431
3213,2.44,3,4,0.281686895
3213,2.469,2,4,0.62445947
3213,2.7,3,5,0.401202643
3213,2.97,2,2,0.667272121
3213,3.3,3,4,0.585099264
3213,3.403,3,4,0.249325273
3213,3.44,2,5,0.429538796
3213,3.47,2,3,0.383580075
3213,3.54,3,5,0.43960784
3213,3.63,3,4,0.473407247
3213,3.77,2,5,0.504196923
3213,3.832,1,5,0.404099321
3213,3.84,1,5,0.476765731
3213,3.94,2,5,0.568926618
3213,3.971,3,5,0.452211972
3213,4,3,5,0.345115294
3213,4.1,2,4,0.547134575
3213,4.17,3,2,0.527163377
3213,4.238,3,5,0.553628689
3213,4.44,2,4,0.418805144
3213,4.77,3,5,0.427163344
3213,4.98,1,3,0.600681798
3213,5.439,1,5,0.409183316
3213,5.8,3,5,0.470011546
3213,6.48,2,5,0.525494898
3213,6.94,3,5,0.536294466
3213,7.44,3,5,0.399819806
3213,11.25,3,5,0.540733307
3213,13.51,2,5,0.37108481
3213,16.42,2,5,0.395771815
3214,0.5,1,2,0.746928863
3214,0.6,2,4,0.732420698
3214,0.64,2,2,0.553935534
3214,0.701,2,4,0.420883512
3214,0.8,2,3,0.384887994
3214,0.93,1,1,0.710432926
3214,1.03,2,3,0.512964096
3214,1.34,3,5,0.484165411
3214,1.435,2,1,0.446464595
3214,1.534,3,4,0.503969033
3214,1.67,2,5,0.258770826
3214,1.701,1,5,0.239145156
3214,1.97,1,5,0.358012271
